1,1,1,2,1,1,2,3,0,0,0,30
2,2,1,2,1,1,2,3,1,0,0,30
3,3,1,2,1,1,2,3,2,0,0,30
4,4,1,2,1,1,2,3,0,0,0,30
5,5,1,2,1,1,2,3,1,0,0,30
6,6,1,2,1,1,2,3,2,0,0,30
7,7,1,2,1,1,2,4,0,0,0,30
8,8,1,2,1,1,2,4,1,0,0,30
9,9,1,2,1,1,2,4,2,0,0,30
10,10,1,2,1,1,2,4,0,0,0,30
11,11,1,2,1,1,2,4,1,0,0,30
12,12,1,2,1,1,2,4,2,0,0,30
13,13,4,2,2,2,1,3,0,0,0,30
14,14,4,2,2,2,1,3,1,0,0,30
15,15,4,2,2,2,1,3,2,0,0,30
16,16,4,2,2,2,1,3,0,0,0,30
17,17,4,2,2,2,1,3,1,0,0,30
18,18,4,2,2,2,1,3,2,0,0,30
19,19,4,2,2,2,1,4,0,0,0,30
20,20,4,2,2,2,1,4,1,0,0,30
21,21,4,2,2,2,1,4,2,0,0,30
22,22,4,2,2,2,1,4,0,0,0,30
23,23,4,2,2,2,1,4,1,0,0,30
24,24,4,2,2,2,1,4,2,0,0,30
25,1,1,2,1,1,2,3,0,0,0,50
26,2,1,2,1,1,2,3,1,0,0,50
27,3,1,2,1,1,2,3,2,0,0,50
28,4,1,2,1,1,2,3,0,0,0,50
29,5,1,2,1,1,2,3,1,0,0,50
30,6,1,2,1,1,2,3,2,0,0,50
31,7,1,2,1,2,1,4,0,0,0,50
32,8,1,2,1,2,1,4,1,0,0,50
33,9,1,2,1,2,1,4,2,0,0,50
34,10,1,2,1,2,1,4,0,0,0,50
35,11,1,2,1,2,1,4,1,0,0,50
36,12,1,2,1,2,1,4,2,0,0,50
37,13,4,2,2,1,2,3,0,0,0,50
38,14,4,2,2,1,2,3,1,0,0,50
39,15,4,2,2,1,2,3,2,0,0,50
40,16,4,2,2,1,2,3,0,0,0,50
41,17,4,2,2,1,2,3,1,0,0,50
42,18,4,2,2,1,2,3,2,0,0,50
